guest_satisfication,host_reviews,monthly_price_factor,picture_count,price,response_rate,reviews_count,weekly_price_factor,listing_key
95,311,0.88,19,22,100,50,0.88,20776319
99,147,0.85,22,28,100,108,0.9,16492050
94,1376,1.0,14,30,100,243,1.0,14266451
95,179,0.79,27,24,97,177,0.93,17625889
93,631,0.8,18,21,100,194,0.95,18543147
97,521,1.0,18,29,100,196,1.0,21853372
98,1735,1.0,25,29,100,324,0.9,8798839
99,64,1.0,22,28,100,63,1.0,21413573
94,176,0.9,13,24,95,171,0.95,20122417
94,213,1.0,24,25,97,118,1.0,23809351
95,794,0.8200000000000001,23,21,100,232,0.95,12862948
93,221,0.6900000000000001,23,26,100,94,0.95,17286138
97,853,1.0,33,32,100,108,1.0,20655429
94,377,0.85,63,28,100,50,0.95,24555833
97,584,1.0,9,30,100,142,1.0,22833853
97,231,0.85,25,32,100,223,0.9,18507595
99,343,1.0,14,28,100,129,0.9,20947435
82,99,0.71,14,28,93,65,0.9,22705372
94,268,0.85,12,25,100,65,0.95,29513553
92,88,1.0,16,21,100,44,0.84,28490721
88,513,1.0,18,22,94,228,0.89,10632353
95,2267,0.8,32,25,100,581,0.87,190126
95,521,1.0,10,29,100,324,1.0,19036570
99,147,0.8,13,21,100,39,0.9,28312546
99,1735,1.0,28,29,100,366,0.9,10207767
96,139,0.7000000000000001,58,26,100,64,0.89,24377897
96,584,1.0,13,32,100,198,1.0,16740671
98,277,0.79,15,24,100,165,0.93,6415019
98,89,0.72,6,26,90,88,0.9,21974394
93,794,0.86,23,24,100,267,0.95,11969615
94,258,1.0,15,28,100,106,1.0,23730793
98,1735,1.0,28,32,100,138,0.9,11570240
91,199,0.9,15,21,100,35,0.9,30928039
97,87,1.0,15,24,100,30,1.0,33117766
93,221,0.7000000000000001,20,26,100,48,0.91,22065764
96,56,0.9,9,22,100,52,0.97,24577793
97,364,0.9,19,24,86,101,0.95,6767183
96,168,0.8,16,26,100,168,0.9,12989015
97,100,0.97,23,22,100,93,0.98,18870123
97,794,0.9,16,21,100,103,0.93,23201934
99,62,1.0,9,30,100,62,1.0,24170971
96,377,0.85,18,21,100,97,0.95,20835858
95,377,0.85,20,21,100,98,0.95,19739035
97,377,0.85,62,30,100,40,0.95,24555702
93,406,0.87,29,26,100,248,0.93,4396849
97,141,0.88,17,30,100,127,0.9,21936652
90,379,0.8,26,21,100,66,1.0,24752474
90,1376,0.95,41,28,100,130,0.97,17136468
92,326,0.76,20,28,100,120,0.9,23078503
94,258,1.0,19,21,100,49,1.0,20137349
99,343,1.0,13,32,100,127,1.0,20988313
99,86,1.0,15,24,100,43,1.0,21752410
98,309,1.0,48,21,100,17,1.0,33228966
95,311,1.0,20,30,100,19,1.0,31196720
90,1376,0.9,15,30,100,153,0.95,17140206
98,2267,0.8,28,21,100,88,0.85,28301863
92,377,0.9,61,28,100,38,0.95,23308842
93,335,0.8,21,24,100,233,0.95,409359
96,760,0.85,10,30,100,117,0.9,10013056
96,2267,0.8,48,25,100,89,0.85,27902057
95,794,0.8,14,24,100,127,0.9,16425675
97,139,0.81,57,22,100,54,0.89,24377818
98,132,1.0,14,28,100,93,1.0,18549132
96,258,1.0,9,21,100,67,1.0,19858708
96,364,0.9,17,24,86,155,0.95,9965590
96,86,1.0,23,28,100,56,1.0,13724596
95,78,0.85,24,26,96,27,0.95,2331981
90,1376,0.95,12,29,100,199,0.98,14237592
93,537,1.0,25,24,100,146,1.0,1831174
90,377,0.85,62,28,100,29,0.95,24555306
95,87,1.0,12,21,100,22,0.9,33117928
96,76,0.8,25,22,100,42,0.92,23837701
95,1337,1.0,29,30,100,110,1.0,17159245
98,380,0.9,17,22,100,90,0.95,9156189
92,236,0.95,39,22,100,74,0.95,18182401
93,199,0.9,12,24,100,29,0.9,31223434
93,19,0.7000000000000001,37,28,100,15,0.85,7236402
94,1376,0.9,13,29,100,147,0.95,14231127
97,225,0.8,28,28,100,71,0.9,22431657
92,46,0.75,10,25,100,45,0.88,19985954
95,35,0.9,53,32,100,35,0.95,30578135
98,108,0.51,12,28,100,100,0.79,22845476
97,151,0.85,38,28,100,49,0.9,23726305
97,760,0.85,19,21,100,100,0.9,13856179
97,380,0.9,41,22,100,69,0.98,12855877
90,379,0.8,20,21,100,56,1.0,24760436
98,853,1.0,30,32,100,13,1.0,33742962
98,122,0.7000000000000001,12,22,100,46,0.85,18754474
98,1735,1.0,24,32,100,79,0.9,26412295
94,1333,0.93,23,24,100,37,0.95,30552489
95,380,0.92,32,28,100,70,0.96,10156181
97,29,0.75,11,26,100,28,0.85,24469322
99,117,1.0,28,21,60,55,1.0,20014075
99,65,0.7000000000000001,8,24,100,15,0.9,33019622
92,254,0.86,12,21,100,78,0.9,15343470
99,24,0.51,31,22,100,23,0.79,30144862
91,119,1.0,16,28,100,53,1.0,28188900
